DATE_STRIN,PLANET_POSITION
1920/1/22,Uranus enters Pisces
1927/3/31,Uranus enters Aries
1927/11/4,Uranus Rx enters Pisces
1928/1/13,Uranus enters Aries
1928/9/21,Neptune enters Virgo
1929/2/19,Neptune Rx enters Leo
1929/7/24,Neptune enters Virgo
1934/6/6,Uranus enters Taurus
1934/10/9,Uranus Rx enters Aries
1935/3/27,Uranus enters Taurus
1937/10/7,Pluto enters Leo
1937/11/25,Pluto Rx enters Cancer
1938/8/3,Pluto enters Leo
1939/2/7,Pluto Rx enters Cancer
1939/6/14,Pluto enters Leo
1941/8/7,Uranus enters Gemini
1941/10/4,Uranus Rx enters Taurus
1942/5/15,Uranus enters Gemini
1942/10/3,Neptune enters Libra
1943/4/17,Neptune Rx enters Virgo
1943/8/2,Neptune enters Libra
1948/8/30,Uranus enters Cancer
1948/11/12,Uranus Rx enters Gemini
1949/6/10,Uranus enters Cancer
1955/8/24,Uranus enters Leo
1955/12/24,Neptune enters Scorpio
1956/1/27,Uranus Rx enters Cancer
1956/3/11,Neptune Rx enters Libra
1956/6/9,Uranus enters Leo
1956/10/19,Neptune enters Scorpio
1956/10/20,Pluto enters Virgo
1957/1/14,Pluto Rx enters Leo
1957/6/15,Neptune Rx enters Libra
1957/8/6,Neptune enters Scorpio
1957/8/19,Pluto enters Virgo
1958/4/11,Pluto Rx enters Leo
1958/6/10,Pluto enters Virgo
1961/11/1,Uranus enters Virgo
1962/1/10,AM Uranus Rx enters Leo
1962/8/9,Uranus enters Virgo
1968/9/28,Uranus enters Libra
1969/4/29,Saturn enters Taurus
1969/5/20,Uranus Rx enters Virgo
1969/6/24,Uranus enters Libra
1970/1/4,Neptune enters Sagittarius
1970/5/2,Neptune Rx enters Scorpio
1970/11/6,Neptune enters Sagittarius
1971/10/5,Pluto enters Libra
1972/4/17,Pluto Rx enters Virgo
1972/7/30,Pluto enters Libra
1974/11/21,Uranus enters Scorpio
1975/5/1,Uranus Rx enters Libra
1975/9/8,Uranus enters Scorpio
1981/2/17,Uranus enters Sagittarius
1981/3/20,Uranus Rx enters Scorpio
1981/11/16,Uranus enters Sagittarius|
1983/11/5,Pluto enters Scorpio
1984/1/18,Neptune enters Capricorn
1984/5/18,Pluto Rx enters Libra
1984/6/22,Neptune Rx enters Sagittarius
1984/8/28,Pluto enters Scorpio
1984/11/21,Neptune enters Capricorn
1988/2/14,Uranus enters Capricorn
1988/5/26,Uranus Rx enters Sagittarius
1988/12/2,Uranus enters Capricorn
1995/1/17,Pluto enters Sagittarius
1995/4/1,Uranus enters Aquarius
1995/4/20,Pluto Rx enters Scorpio
1995/6/8,Uranus Rx enters Capricorn
1995/11/10,Pluto enters Sagittarius
1996/1/12,Uranus enters Aquarius
1998/1/28,Neptune enters Aquarius
1998/8/22,Neptune Rx enters Capricorn
1998/11/27,Neptune enters Aquarius
2003/3/10,Uranus enters Pisces
2003/9/14,Uranus Rx enters Aquarius
2003/12/30,Uranus enters Pisces
2008/1/25,Pluto enters Capricorn
2008/6/14,Pluto Rx enters Sagittarius
2008/11/26,Pluto enters Capricorn
2010/5/27,Uranus enters Aries
2010/8/13,Uranus Rx enters Pisces
2011/3/11,Uranus enters Aries
2011/4/4,Neptune enters Pisces
2011/8/4,Neptune Rx enters Aquarius
2012/2/3,Neptune enters Pisces
2018/5/15,Uranus enters Taurus
2018/11/6,Uranus Rx enters Aries
2019/3/6,Uranus enters Taurus
2023/3/23,Pluto enters Aquarius
2023/6/11,Pluto Rx enters Capricorn
2024/1/20,Pluto enters Aquarius
2024/9/1,Pluto Rx enters Capricorn
2024/11/19,Pluto enters Aquarius
2025/3/30,Neptune enters Aries
2025/7/7,Uranus enters Gemini
2025/10/22,Neptune Rx enters Pisces
2025/11/7,Uranus Rx enters Taurus
2026/1/26,Neptune enters Aries
2026/4/25,Uranus enters Gemini
2032/8/3,Uranus enters Cancer
2032/12/12,Uranus Rx enters Gemini
2033/5/22,Uranus enters Cancer
2038/5/21,Neptune enters Taurus
2038/10/21,Neptune Rx enters Aries
2039/3/23,Neptune enters Taurus
2039/8/6,Uranus enters Leo
2040/2/25,Uranus Rx enters Cancer
2040/5/15,Uranus enters Leo
2043/3/8,Pluto enters Pisces
2043/8/31,Pluto Rx enters Aquarius
2044/1/19,Pluto enters Pisces